user_name,tweets
Zoya Khan,"Quote Tweet
Shakoor afghan
@PashtoonHero
 · Nov 19
کیا کبھی امریکی وزیراعظم یا چاینا کا وزیر اعظم یا انڈیا کا وزیر اعظم جس ملک کابھی وزیر اعظم ہو کیا اپ نے اسے کسی ملک جانے کے وقت اس کے ساتھ کسی ادارے کا سربراہ یا ایجنسیوں کے اہلکاروں کو اس کے ساتھ جاتےہوۓ دیکھا ہیں تو یہ ہمارا والا کیوں دوسرے ہجڑے کو ساتھ لے کر افغانستان گیا"
کاشف خان,"Quote Tweet
Afridi Tribal
@Afridijank
 · 21h
کیس نے خوب لکھا ہیں کے منافقین دو قسم کے ہوتے ہیں ایک غیر مسلم ہوتے ہیں ایک مسلمان سب سے زیادہ خطرناک منافقین مسلمان ہوتے ۔پی ٹی ایم کے ختم کرنے کا خواب تو منافقین کا پورا نہیں ہوگا  ناکام تو فوج ہے  جو پورا دنیا اس پر پابندی لگاتے اور پاکستان کے تمام پارٹی ۔فوج پر الزام لگتا ہیں  twitter.com/khannn_kashif/…"
Zoya Khan,"Quote Tweet
Afridi Tribal
@Afridijank
 · Nov 20
#PTIMurdabad 
 کرونا  فوج کے جنرل پر اثر نہیں کرتے یہ زہریلے ۔ مقصد کرونا ۔سیاستدانوں  اور غریب عوام  کو مار سکتا ہے ۔ پہلے لوگوں کو مختلف طریقے سے اغوا کرکے پھر شہید  کردیتے تھے ابھی ان کے بہانہ کرونا ہے کرونا کے ذریعے لوگوں کو شہید کرتے  ۔نمبر ڈرت twitter.com/Shinamuller/st…"
Z aheer(A proud Pakistani),"Quote Tweet
Sheikh Rashid Ahmed
@ShkhRasheed
 · Nov 20
مولانا خادم حسین رضوی کی اچانک وفات پر بہت دکھ ہوا۔انہوں نے اپنے ہزاروں مداحین کو سوگوارکر دیا۔مولانا خادم حسین رضوی ایک سچے عاشق رسول تھے۔ ناموس رسالت صلی اللہ علیہ وآل وسلم کے لئے ان کی خدمات ناقابل فراموش ہیں۔
اللہ تعالی مرحوم کے درجات بلند کرے۔ نبی کریم کی شفاعت نصیب کرے۔آمین"
Z aheer(A proud Pakistani),"Quote Tweet
Senator Shibli Faraz
@shiblifaraz
 · 22h
زرداری صاحب نے تو پیپلز پارٹی کو ایک وفاقی جماعت سے سندھ اور لاڑکانہ تک محدود کر دیا جبکہ مریم نواز انتھک محنت سے ن لیگ کو گوالمنڈی کی جماعت بنا رہی ہیں۔ ن لیگ کی اکثریت خود مریم کے بیانیے سے بیزار ہے لیکن پارٹی میں جمہوریت نہ ہونے کی وجہ سے کوئی سر اٹھا کر بات نہیں کر سکتا۔"
Gulraiz Tabbasam,"Quote Tweet
Riaz Sheikh
@RiazSheikh100
 · 22h
نام ہونٹوں پہ ترا آئے تو راحت سی ملے
تو تسلی ہے ؟ دلاسہ ہے ؟ دعا ہے ؟ کیا ہے؟"
Muhammad Ashraf Rao,"Quote Tweet
Hassan khan
@pak__Army_
 · Nov 19
اس لڑکی کی بات سنیے "
Z aheer(A proud Pakistani),"Quote Tweet
sherry khan
@sherazkhanlodhy
 · Nov 20
شکریہ  چیف صاحب 
  twitter.com/sherazkhanlodh…"
Z aheer(A proud Pakistani),"Quote Tweet
Kamran
@kamihbutt
 · Nov 20
فواد چوہدری کے سابقہ باس پرویز مشرف نے بھی اکبر بگتی کو اسی طرح کی دھمکی دی تھی اور اس وقت بھی اعجاز شاہ وزیر داخلہ تھا.
جسٹس وقار سیٹھ اور خادم رضوی کی مشکوک حالات میں اموات کی تحقیقات ہونی چاہئیں تاکہ ان اموات کی اصل وجوہات سامنے آ سکیں."
Z aheer(A proud Pakistani),"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 19
اب میں دی نیشن کوجھوٹی سٹوری پہ کچھ کانسیپٹ کلئیر کر دوں۔ PDM تحریک ہے، نا کوئی پارٹی ہے، نہ آرگنائزیشن ہے، نہ اس کا سٹرکچرہے، نہ اس کانسٹیٹیوشن ہے، نہ رُولز ہیں جن کی خلاف ورزی ہو سکے۔ نہ کسی کے پاس کسی اور کو expel کرنے کی اتھاریٹی ہے۔ ایسی بیہودہ خبر چلانے سے پہلے سوچ لیا کریں"
Z aheer(A proud Pakistani),"Quote Tweet
Ahsan Iqbal
@betterpakistan
 · Nov 20
ماسک پہننا بزدلی نہیں بلکہ بہادری ہے- ماسک نہ پہننا اپنی مرضی نہیں بلکہ اپنوں اور دوسروں کی صحت کا سوال ہے- باہر نکلیں یا اجتماع میں جائیں تو ماسک ضرور پہنیں اور محفوظ رہیں- احتیاط علاج سے بہتر ہے-"
Z aheer(A proud Pakistani),"Quote Tweet
Rimmsh Rajput Bhatti
@RimmshBhatti29
 · 22h
Rs 29.65 Billion.                 Rs 71 Billion
Credits SS.                       Credits IK
( Lahore ).                       ( Peshawar)"
Z aheer(A proud Pakistani),"Quote Tweet
نادیہ مرزا
@nadia_a_mirza
 · Nov 19
اہم اعلان 
گلگت بلتستان میں پی ٹی آئی 16 سیٹس کیساتھ حکومت بنانے کیلیے تیار۔ 
تمام چھ آزاد امیدواروں کے علاوہ جے یو آئی ایف کے سابقہ اپوزیشن لیڈر حاجی شاہ بیگ بھی پی ٹی آئی میں شامل۔ 
وزیر اعلی کا نام بھی فائنل۔ 
#GilgitBaltistanElections2020 #GilgitBaltistan"
Z aheer(A proud Pakistani),"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 20
باجوہ صاحب سے کہیں اب خود ہی سنبھال لیں ٹی ایل پی کی قیادت —- کوئی پردہ داری تو ہے نہیں twitter.com/OfficialDGISPR…"
Z aheer(A proud Pakistani),"Quote Tweet
Umar Cheema
@UmarCheema1
 · Nov 19
نئی اطلاع کیمطابق پرانی اطلاع درست تھی"
Z aheer(A proud Pakistani),"Quote Tweet
Farhatullah Babar
@FarhatullahB
 · Nov 19
Did Khadim Rizvi really threaten the other day to disclose at whose behest he had staged sit in & besieged the capital? The question lurked at the back of mind just as the news of his passing away broke on social media a short while ago"
Z aheer(A proud Pakistani),"Quote Tweet
اُمِ فاروق
@humairaajmal697
 · Nov 20
حافظ سعید کو فنڈنگ کیس میں ساڑھے دس سال سزا دے دی گئ
عمران خان کو فارن فنڈنگ کیس میں کب اور کتنی سزا دی جائے گی 
تکا تو لگاؤ مسلمانو"
Z aheer(A proud Pakistani),"Quote Tweet
Kamran Khan
@AajKamranKhan
 · Nov 19
Pakistan Economy is on right track. 2021 is going to be a much better year.Govt will continue to support protect industry and businesses. No hiccups in the IMF program or in external payments due next year, watch PM’s Advisor on Finance Dr Abdul Hafeez Sheikh at DKKKS tonight"
Geo News,"The following media includes potentially sensitive content. Change settings
View"
حق اور سچ,"Quote Tweet
Marvi Sirmed
@marvisirmed
 · Nov 20
نیچاں دی اشنائی کولوں فیض کسے نہ پایا
ککر تے انگور چڑھایا، ہر گچھا زخمایا
(میاں محمد بخش)"
TANWEER ASLAM,"Quote Tweet
Manzoor Pashteen Fan,S
@Pashteen_Fans
 · Nov 19
Replying to @ImranKhanPTI
ابھی تک کوئی ایک بوٹ پالشیا بھی کرونا سے نہیں مرا پاکستان میں، خادم رضوی  نے دھمکی لگائی تھی کہ بتاونگا مجھے فیض آباد کس نے بھیجا. آج وہ اس جہان سے چلاگیا.
کرونا جنرل فیض ، باجوے ،کرنل ،جرنل کو کیوں نہیں ہوتا؟"
Aijaz Mahar,"Changes in Army فوج میں بڑے پیمانے پر ترقیاں، تبادلے اور تقرریاں
In coming few days there will be reshuffle in the high ranks of Pak Army due to retirement, promotions and postings. All have their eyes on it. In this Vlog ...
youtube.com"
Abdul Basit,"Quote Tweet
علی خان پی ٹی ائی
@alikhan221022
 · Nov 20
میرے بیٹے کے سینے میں بائیس گولیاں لگی لیکن اس کی ٹانگیں نہیں کانپی 
براہ مہربانی ہماری فوج کے خلاف بات نہ کیا کریں ہم سے پوچھیں ہم پر کیا گزرتی ہے فوجی شہید کے باپ کا پیغام"
بـــنــت بـلــــوچ,Imran Khan and 9 others
𝐂𝐞𝐟𝐮𝐫,"جنوبی وزیرستان: دہشت گردوں کی فائرنگ، 2 جوان شہید
جنوبی وزیرستان:جنوبی وزیرستان میں سیکیورٹی چیک پوسٹ پر دہشت گردوں کے حملے میں پاک فوج کے دو جوان شہید اور ایک زخمی ہو گیا۔پاک فوج کے شعبہ تعلقات عامہ (آئی ایس پی آر) کی جانب سے جاری بیان میں بتایا …
concepttvurdu.com"
محب وطن پاکستانی,"From 
Shama G"
Jaferzahida,"مریم نواز کا دماغ خراب ہے ، پاک فوج کے سابق آفیسر نے مریم نواز کو...
#MaryamNawaz #MaryamNawazLatestnews #NawazSharif Nawaz Sharif Latest News Maryam Nawaz Latest News
youtube.com"
Ch Muhammad iqbal,"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 19
بیکار کی باتیں۔ یہ کدھر لکھا ہے کہ جمہوریت کی تحریکوں میں صرف سیاسی پارٹیاں ہو سکتی ہیں؟؟ اس میں طلبا، وکیل، سول سوسائٹی وغیرہ سب ہوتے ہیں ۔ ہمیشہ ۔ پوری دنیا میں۔ بے بنیاد باتیں نہ کی جائیں تو بہتر ہو گا۔"
Ghayoor Abbas,"گلگلت بلتستان میں احتجاجی مظاہرے، پاک فوج سے مدد طلب
جی بی انتظامیہ نے 480 فوجی طلب کیے ہیں ان میں سے 300 کو گلگت اور 180 کو چلاس میں تعینات کیا جانا ہے۔
dawnnews.tv"
Z aheer(A proud Pakistani),"Quote Tweet
Imran Khan
@ImranRiazKhan
 · Nov 20
اگرعدالت نواز شریف کو اشتہاری ہونے کے باوجود بولنے کا حق دے دیتی تو کبھی اتنے چہرے بے نقاب نہ ہوتے۔ اور شاٸد نواز شریف کے ان سب دیوانوں نے کیس ہارنے کا یہ بھیانک پہلو کبھی سوچا بھی نہ تھا۔ بہرحال عزت کی قیمت پر کچھ لوگوں نے حق ادا کر دیا۔"
Raja Husnain Subhani,"Quote Tweet
Ibrar Jahangir
@ibrar_jahangir
 · Nov 20
بطورِ کشمیری خادم حسین رضوی صاحب کو کبھی فراموش نہیں کرسکتا,
کشمیر پر بے باکی اور ہمدردی کے بول کے بدلے لاکھوں دعاؤں کا تحفہ۔
جنت میں بھی مقام اونچا ملے آمین۔
#khadim_Hussain_Rizvi"
Simbul..,"Quote Tweet
مغربی پاکستان
@MunirHayat57
 · Nov 19
Replying to @Silent_deserts and @atifthepoet
جی وہ مشرقی پاکستان سیاچن انگور اڈہ ایبٹ آباد کی حفاظت !! ؟
عالم اسلام کے سب سے زیادہ جنگی قیدی 
ہندو ہی نہیں ہر غیر پاکستانی سے سامنے زلیل ..."
Z aheer(A proud Pakistani),"Quote Tweet
VEENA MALIK
@iVeenaKhan
 · Nov 19
""مفرور کی تقریریں چلانے کی اجازت دیں""۔۔۔ لفا فے 

""یہ عدالت کسی مفرور کو ریلیف نہیں دےسکتی""
اسلام آباد ہائی کورٹ

لفافہ تباہ دے"
Z aheer(A proud Pakistani),"Quote Tweet
Mushahid Ullah Khan
@Mushahid_Ullahh
 · Nov 19
فیر میں وی دَس دَیا گاں
اللہ تعالیٰ مغفرت فرمائے آمین ثم آمین"
Z aheer(A proud Pakistani),"Quote Tweet
GOP
@GOP82279608
 · Nov 19
Replying to @OryaMaqboolJann
They r all from Punjab they do what they r best at @MaryamNSharif @ShahbazSharifCM @NawazSharifMNS 
@Marriyum_A @RanaSanaUllah70 Ahsan Iqbal @betterpakistan @ChTalalOfficial @KhawajaMAsif @javed_mna @AzmaBokhari @MarriyumA @AbidSherAli @kdastgirkhan @Tallal_MNA @BBhuttoZardari"
Z aheer(A proud Pakistani),"Quote Tweet
Rauf Klasra
@KlasraRauf
 · Nov 19
If Kashmir is resolved, powerful elite in Pakistan and India will starve. Likewise international weapons producing & selling companies ll go bankrupt. So its only in the mutual interest of both the countries that Kashmir stays unresolved but  internationals Establishment too— twitter.com/umr_pak_nj/sta…"
Z aheer(A proud Pakistani),"Quote Tweet
Maryam Nawaz Sharif
@MaryamNSharif
 · Nov 19
اگر یہ سچ ہے تو نہایت شرم اور افسوس کی بات ہے کیونکہ مقامی لوگوں کی روزمرہ زندگی اور روزگار انھی پُلوں سے جڑے ہیں۔ twitter.com/nasirzaz/statu…"
Z aheer(A proud Pakistani),"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 19
اور اب سارا میڈیا جھوٹ خبریں چلا رہا ہے کہ عرصہ سے بیمار تھا اور زیر علاج تھا ۔ یہ نہیں بتا رہا کہ اس جمعہ پین دی سری نے بتانا تھا کہ دھرنا کرنے اُسے کس نے بھیجا تھا۔"
Zahid Abdali 09,"Quote Tweet
Abdul Aleem Khan
@aleemkhan_pti
 · Nov 19
دشمن کا مقابلہ کرتے ہوئے وطن عزیز پر جانیں قربان کرنے والے شہید سپاہی حوالدار محبوب عالم اور سپاہی سلیمان شوکت کو   پوری قوم کا سلام، زخمی جوان کی جلد صحتیابی کیلیے دعا گو ہوں۔ اللہ تعالی شہداء کے درجات بلند فرمائے اور لواحقین کو صبرِ جمیل عطا فرمائے۔ آمین۔"
Z aheer(A proud Pakistani),"Quote Tweet
Sabir Shakir
@ARYSabirShakir
 · Nov 19
کافی چہرے بےنقاب ہوگئے ہیں"
M Anees Sidhu,Bilal Tawakkal and 6 others
Noorhussain PML(N),"Quote Tweet
Imran Khan
@ImranRiazFan
 · Nov 18
کچھ صحافیوں نے افواج پاکستان سے متعلق بیانات کرنے والے مفرور نواز شریف کی تقریر کی TV پر بحالی کیلئے اسلام آباد عدالت سے رجوع کیا ہے ۔۔

ویسے ان صحافیوں کا اس چیز سے کیا تعلق جبکہ پارٹی موجود ہے..؟"
Muhammad Amir Baloch,"Quote Tweet
Mian Alamgir Shah
@AlamgirMian
 · Nov 19
حکومت مخالف سیاستدان، دیانتدار ججز اور باضمیر صحافی اج کل کسی بھی بیماری کی صورت میں اسپتال جانے سے گریز کریں، ورنہ انتقال کرائے جائنگے۔
کرونا کی مد میں ڈالرز لیئے گئے۔ لاک ڈاون کرائے گئے۔ اب کرونا صرف حکومت کے مخالفین کو مار رہی ہے۔ 
کرونا حکومت کا اتحادی ہے یا سرکاری ٹارگٹ کلر؟"
Muhammad Amir Baloch,"Quote Tweet
Mubeen Ali Khanzada
@KhanzadMubeen
 · Nov 19
جسٹس سیٹھ وقار اور خادم رضوی کی کورونا سے اچانک موت سے ثابت ہوا کہ کورونا بھی کافی جذباتی واقع ہوا ہے۔ 
قومی سلامتی پر آجائے کچھ نہیں سوچتا۔ 

#KhadimRizvi
@NdmEhsan @KunwarMomin @Sufyan_Yusuf @2642671BlochReg @ShahnazAltafi @SohailShams @HamidMirPAK @WaseemBadami"
Dilshad mirani layyah de shan,"فاطمہ ویلفیئر فاونڈیشن
ہندو دیوالی کے موقع پر پاکستانی سرحد پر بلا اشتعال فائرنگ کی جوابی کارروائی سے پاک فوج نے انڈیا کا دیوالیہ کردیا ہندوستان میں صف ماتم ویڈیو دیکھیں اور کمینٹس ضرور دیجئے
m.facebook.com"
מחמד שפקת מראד,"Quote Tweet
Atif Tauqeer
@atifthepoet
 · Nov 19
اور اس سے بھی بڑا سوال یہ ہے کہ اس دماغی سطح، ذہنی حالت اور آئی کیو کے تمام لوگ “پاک فوج زندہ باد” والے کیمپ ہی میں کیوں ہیں؟ twitter.com/atifthepoet/st…"
Z aheer(A proud Pakistani),"Quote Tweet
Shahid khaqan Abbasi
@SKAbbasi_FaN
 · Nov 19
قومیں سڑکیں اور پل بنانے سے نہیں بنتی / عمران خان

سب سے زیادہ رقم سڑکوں کی تعمیر پر خرچ ہوگی / اسد عمر"
Z aheer(A proud Pakistani),"Quote Tweet
Shah Mahmood Qureshi
@SMQureshiPTI
 · Nov 19
Great trip to Afghanistan accompanying PM @ImranKhanPTI, focussing on our multi faceted relationship across a strengthening bilateral relationship, partnership in the Afghan peace process & regional economic devp/connectivity. 
  are bonded through history, faith and kinship."
Fatima,"j!yA
lovE Allah
 and 8 others"
Zhashmee@hotmail.com,"Quote Tweet
Adeel Raja
@adeelraja
 · Nov 19
As I tweeted in the morning, another anchor jumped the bus. A little too late I think. Its clear Justice Ather Minallah wont be giving any relief to Nawaz Sharif so such tweets now do not matter!"
عمیر علی,"Quote Tweet
Rashid Nasrullah
@RashidNasrulah
 · Nov 19
حافظ سعید جیسے مجاہد کسی اور ملک میں ہوتے تو انکے پیر لوگ دھو دھو کر پیتے ۔۔شیخ رشید ۔

اب کیا ہوا ؟
0:29
13.1K views"
Ahmed,"Quote Tweet
Saliha
@marzi_c_hai
 · Nov 19
Khadim Rizvi should learn that same would happen to him after the establishment has used him. twitter.com/MurtazaViews/s…"
Verona Wazir,"Quote Tweet
Hassan Nasir
@Hassan_Nasirr
 · Nov 18
ٹروتھ کمیشن کا قیام وقت کی ضرورت ہے تاکہ پتہ چلے کہ کونسی قوتوں نے وزیرستان کو ملیا میٹ کیا ، دہشتگرد بنائے ، دہشتگردوں کو سپورٹ کیا۔
اس کے علاؤہ فوج کی سیاست میں مداخلت کو روکنے کیلئے بھی ٹروتھ کمیشن کا قیام ضروری ہے۔

#TruthCommission"
Z aheer(A proud Pakistani),"Quote Tweet
𝐼𝓂𝓇𝒶𝓃 𝐿𝒶𝓁𝒾𝓀𝒶
@Lalika79
 · Nov 19
شریفوں نے کتے پالے
میڈیا والے بھئ میڈیا والے"
Ch Hamza Pti,Bilal Tawakkal and 6 others
Ahmed,"Quote Tweet
ShErAz
@SherazSays_
 · Nov 19
وزیرستان میں دہشت گردوں کے حملے میں
 حوالدار مطلوب عالم اور سپاہی سیلمان شوکت شہید ہو گے 
 انھیں شہدا کی قربانیوں کی بدولت ہماری دھرتی محفوظ ہے یہ قربان ہو جاتے ہیں ملک سلامت رہتا ہے ۔
اللہ شہدا کے درجات بلند فرماے اور لواحقین کو صبر دے 
#ISPR https://pic.twitter.com/WRZDrZBujW"
Hans Masroor Badvi,"جنوبی وزیرستان: دہشت گردوں کی فائرنگ، 2 جوان شہید
جنوبی وزیرستان:جنوبی وزیرستان میں سیکیورٹی چیک پوسٹ پر دہشت گردوں کے حملے میں پاک فوج کے دو جوان شہید اور ایک زخمی ہو گیا۔پاک فوج کے شعبہ تعلقات عامہ (آئی ایس پی آر) کی جانب سے جاری بیان میں بتایا …
concepttvurdu.com"
Sardar Saqlain Khosa,"Quote Tweet
Brig Tariq Zaman Malik , SI(M) (R)
@BrigTariq
 · Nov 18
عمران خان کو الیکشن جتوانے کیلئے  15  نومبر کو فوج نے گلگت بلستان میں شدید برفباری کرائی جسکے ثبوت نوازشریف کے پاس ہیں..... 
حامد بے فقیر "
انجنیئر طارق داوڑ تحریک انصاف,شفقت چوہدری and 9 others
Z aheer(A proud Pakistani),"Quote Tweet
ARY News
@ARYNEWSOFFICIAL
 · Nov 19
FM Qureshi, Afghan counterpart discuss peace process in Kabul

#ARYNews 

https://arynews.tv/en/foreign-minister-discuss-peace-process-in-kabul/…"
Z aheer(A proud Pakistani),"Quote Tweet
GNN
@gnnhdofficial
 · Nov 19
چلاس کے علاقے میں دریائے سندھ پر قائم کھنر پل کو نامعلوم افراد نے جلا ڈالا 

#GNN #GNNupdates"
Z aheer(A proud Pakistani),"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 19
یہ دی نیشن کی شرارت ہے ۔ خبر لگوائی گئی ہے ۔"
Z aheer(A proud Pakistani),"Quote Tweet
Shireen Mazari
@ShireenMazari1
 · Nov 19
Courageous honesty to admit you were delib misled and are therefore moving to withdraw your name. Respect. twitter.com/NasimZehra/sta…"
Z aheer(A proud Pakistani),"Quote Tweet
Mansoor Ali Khan
@_Mansoor_Ali
 · Nov 18
[EXCLUSIVE] Ex FIA Officer Sajjad Bajwa accuses Prime Minister Imran Khan for favouring Sugar Mills https://youtu.be/CNtvsyPsI4k via @YouTube"
Z aheer(A proud Pakistani),"Quote Tweet
KPK Updates
@KPKUpdates
 · Nov 19
PM @ImranKhanPTI holds one-on-one meeting with Afghan President @ashrafghani.

#PMIKinAfghanistan"
احمد مختار,"جنوبي وزيرستان:کيډټ کالج اسپنکۍ کښې نیشنل تائیکوانډو چیمپئن شپ تابيا شوې
د جنوبي وزيرستان کيډټ کالج اسپنکۍ کښې نیشنل تائیکوانډو چیمپئن شپ تابيا شوې وو چې
concepttvpashto.com"
Z aheer(A proud Pakistani),"Quote Tweet
Noman Khan
@dtnoorkhan
 · Nov 19
بختاور کی منگنی پر جانے والے مہمانوں کو اپنا کووڈ ٹیسٹ دکھانا ہو گا کیونکہ زرداری اور اس کی آل اولاد کو خطرہ ہو سکتا ہے۔

لیکن جلسوں سے کورونا نہیں پھیلتا کیونکہ جیالے، پٹواری اور مدرسے کے طالبعلم یتیم لاوارث اور سوپر ہیومن ہیں۔

منافقت۔"
Balo khan PTI,"The following media includes potentially sensitive content. Change settings
View"
Naqeeb,"Quote Tweet
Gulalai_Ismail
@Gulalai_Ismail
 · Nov 18
بلوچوں کی جبری گمشدگی اور انکی تشدد زدہ مسخ شدہ لاشیں پھینکنے کا سلسلہ نظرانداز نہیں کیا جا سکتا۰ پاکستان بلوچوں کے وسائل سے چلتا ہے چاہے سوئی کی گیس ہو یا سی پیک کا منصوبہ، لیکن انہی وسائل کے اصلی مالک ریاست کے ہاتھوں اغوا اور قتل ہوتے ہیں
#SaveQambraniBrothers twitter.com/balochhaseeba/…
Show this thread"
Asif Akram Vohra PML.N,"Quote Tweet
Imran Khan
@ImranRiazFan
 · Nov 18
کچھ صحافیوں نے افواج پاکستان سے متعلق بیانات کرنے والے مفرور نواز شریف کی تقریر کی TV پر بحالی کیلئے اسلام آباد عدالت سے رجوع کیا ہے ۔۔

ویسے ان صحافیوں کا اس چیز سے کیا تعلق جبکہ پارٹی موجود ہے..؟"
